Algorithm,Map,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
Without Tail Memory,random_small,0,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004075754872525673
Without Tail Memory,random_small,1,10,1.0,0.0,0.9219999999999999,8.8,0.8,0.0,0.004024566841653723
Without Tail Memory,random_small,2,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004050940001689015
Without Tail Memory,random_small,3,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.004152043800677347
Without Tail Memory,random_small,4,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.004102924863519937
Without Tail Memory,random_small,5,10,1.0,0.0,0.9259999999999999,8.4,0.4,0.0,0.0040579337953022335
Without Tail Memory,random_small,6,10,1.0,0.0,0.9279999999999999,8.2,0.2,0.0,0.004059743764737504
Without Tail Memory,random_small,7,10,1.0,0.0,0.916,9.4,1.4,0.0,0.004048870185361011
Without Tail Memory,random_small,8,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004015901279562968
Without Tail Memory,random_small,9,10,1.0,0.0,0.9239999999999998,8.6,0.6,0.0,0.003977061550176586
