success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,Algorithm,Seed,Task
1,0.94,7,0,0.0,0.0,1.0100068591002907e-07,Value Iteration,0,task_04
1,0.94,7,0,0.0,0.0,1.1299977943833386e-07,Value Iteration,0,task_04
1,0.94,7,0,0.0,0.0,1.5485524532518218e-07,Policy Iteration,0,task_04
1,0.94,7,0,0.0,0.0,1.0100068591002907e-07,Policy Iteration,0,task_04
1,0.94,7,0,0.0,0.0,1.0714159413639988e-07,Policy Iteration,0,task_04
1,0.94,7,0,0.0,0.0,9.528801976037877e-08,Policy Iteration,0,task_04
1,0.94,7,0,0.0,0.0,1.0114412621728011e-07,Policy Iteration,0,task_04
1,0.94,7,0,0.0,0.0,1.005998845877392e-06,Q-learning,0,task_04
1,0.94,7,0,0.0,0.0,8.69285681151918e-07,Q-learning,0,task_04
1,0.94,7,0,0.0,0.0,7.972848834469914e-07,Q-learning,0,task_04
1,0.94,7,0,0.0,0.0,7.739976613915392e-07,Q-learning,0,task_04
1,0.94,7,0,0.0,0.0,7.797124063862222e-07,Q-learning,0,task_04
1,0.94,7,0,0.0,0.0,0.001749416854831257,MCTS,0,task_04
1,0.94,7,0,0.0,0.0,0.001678595138530779,MCTS,0,task_04
1,0.92,9,0,0.0,2.0,0.0015416064448395951,MCTS,0,task_04
1,0.92,9,0,0.0,2.0,0.0017599488880174856,MCTS,0,task_04
1,0.86,15,0,0.0,8.0,0.0016970972676062957,MCTS,0,task_04
0,-1.01,2,1,0.0,,0.0013623755003209226,Map-Conditioned Standard Diffusion,0,task_04
0,-1.01,2,1,0.0,,0.0013257290047477,Map-Conditioned Standard Diffusion,0,task_04
1,0.92,9,0,0.0,2.0,0.0013484630002898888,Map-Conditioned Standard Diffusion,0,task_04
0,-1.01,2,1,0.0,,0.0013241669948911294,Map-Conditioned Standard Diffusion,0,task_04
0,-1.01,2,1,0.0,,0.0013488959957612678,Map-Conditioned Standard Diffusion,0,task_04
0,-1.01,2,1,0.0,,0.0015480625006603077,Map-Conditioned Failure-Memory Diffusion,0,task_04
0,-1.03,4,1,0.4,,0.0014521667544613592,Map-Conditioned Failure-Memory Diffusion,0,task_04
1,0.92,9,0,0.2,2.0,0.0014457128903207679,Map-Conditioned Failure-Memory Diffusion,0,task_04
1,0.94,7,0,0.25,0.0,0.001379684715565028,Map-Conditioned Failure-Memory Diffusion,0,task_04
0,-1.05,6,1,0.2857142857142857,,0.0013835551629502636,Map-Conditioned Failure-Memory Diffusion,0,task_04
