success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_D,Map,Seed
1,0.94,7,0,0.0,2.0,0.0032464582857625957,40,0.1,easy,0
0,-1.02,3,1,0.0,,0.001158263665274717,5,0.1,obstacle,0
0,-1.0,1,1,0.0,,0.0011268339949310757,5,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0011106386664323509,5,0.1,obstacle,0
0,-1.01,2,1,0.0,,0.0011096870002802461,5,0.1,obstacle,0
0,-1.01,2,1,0.0,,0.0011080000040237792,5,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0011175696660454075,5,0.1,obstacle,0
0,-1.0,1,1,0.0,,0.0011675830028252676,5,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0012273889976010348,5,0.1,obstacle,0
0,-1.0,1,1,0.0,,0.0011420000009820797,5,0.1,obstacle,0
0,-1.01,2,1,0.0,,0.0011257500009378418,5,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0012292083338252269,10,0.1,obstacle,0
0,-1.01,2,1,0.0,,0.0012088955008948687,10,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0012024586661330734,10,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0012570836673451897,10,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0012401946660247631,10,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0012029303325107321,10,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.001231013666256331,10,0.1,obstacle,0
0,-1.04,5,1,0.0,,0.0012029834004351869,10,0.1,obstacle,0
0,-1.01,2,1,0.0,,0.0012399999977787957,10,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0012114860025273326,10,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0015354029989490907,20,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.001393152665211043,20,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0013530833336214225,20,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.001428541666731083,20,0.1,obstacle,0
