success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,lambda_F,Map,Seed
0,-1.0,1,1,1.0,,0.0011282080013188533,1.0,random_small,0
0,-1.13,14,1,0.6666666666666666,,0.001133946428516148,1.0,random_small,0
0,-1.04,5,1,0.6666666666666666,,0.001130391399783548,1.0,random_small,0
0,-1.0,1,1,1.0,,0.0011280000035185367,1.0,random_small,0
0,-1.06,7,1,0.75,,0.0011805121414779154,1.0,random_small,0
0,-1.0,1,1,0.0,,0.001207000001159031,2.0,random_small,0
0,-1.04,5,1,0.16666666666666666,,0.0011695084001985378,2.0,random_small,0
1,0.9299999999999999,8,0,0.3333333333333333,0.0,0.001211911375321506,2.0,random_small,0
0,-1.08,9,1,0.5,,0.0015979026647983119,2.0,random_small,0
0,-1.09,10,1,0.5454545454545454,,0.0012062542016792576,2.0,random_small,0
0,-1.0,1,1,1.0,,0.001177750003989786,2.0,random_small,0
0,-1.13,14,1,0.6666666666666666,,0.0011863452855322976,2.0,random_small,0
0,-1.05,6,1,0.5714285714285714,,0.0012176526688563172,2.0,random_small,0
0,-1.0,1,1,1.0,,0.00121854200551752,2.0,random_small,0
0,-1.06,7,1,0.75,,0.0011981788577811261,2.0,random_small,0
0,-1.0,1,1,0.0,,0.0012496670024120249,5.0,random_small,0
0,-1.04,5,1,0.16666666666666666,,0.001188816799549386,5.0,random_small,0
1,0.9299999999999999,8,0,0.3333333333333333,0.0,0.001284750124796119,5.0,random_small,0
1,0.91,10,0,0.18181818181818182,2.0,0.0011914749993593432,5.0,random_small,0
0,-1.06,7,1,0.375,,0.001174714286337673,5.0,random_small,0
0,-1.0,1,1,1.0,,0.0012044999966747127,5.0,random_small,0
0,-1.13,14,1,0.26666666666666666,,0.0011807709285806464,5.0,random_small,0
0,-1.05,6,1,0.5714285714285714,,0.0011808541651892786,5.0,random_small,0
0,-1.0,1,1,1.0,,0.0011658750008791685,5.0,random_small,0
1,0.9299999999999999,8,0,0.5555555555555556,0.0,0.00118517737610091,5.0,random_small,0
0,-1.05,6,1,0.0,,0.0011832433362239196,0.0,easy,1
1,0.96,5,0,0.5,0.0,0.0012295334017835557,0.0,easy,1
0,-1.0,1,1,1.0,,0.0012889170029666275,0.0,easy,1
0,-1.0,1,1,1.0,,0.0012487499989219941,0.0,easy,1
1,0.9,11,0,0.4166666666666667,6.0,0.0011798065448105758,0.0,easy,1
0,-1.01,2,1,1.0,,0.0011554579978110269,0.0,easy,1
1,0.92,9,0,0.3,4.0,0.0011486528884334904,0.0,easy,1
0,-1.0,1,1,1.0,,0.0011599580029724166,0.0,easy,1
1,0.96,5,0,0.5,0.0,0.00114938320039073,0.0,easy,1
0,-1.0,1,1,1.0,,0.001167000002169516,0.0,easy,1
0,-1.05,6,1,0.0,,0.001151027998275822,0.1,easy,1
1,0.96,5,0,0.5,0.0,0.0011507083996548317,0.1,easy,1
0,-1.0,1,1,1.0,,0.0011704159987857565,0.1,easy,1
0,-1.0,1,1,1.0,,0.0011681670002872124,0.1,easy,1
1,0.94,7,0,0.375,2.0,0.0011535415719013795,0.1,easy,1
0,-1.01,2,1,1.0,,0.0011509790019772481,0.1,easy,1
1,0.92,9,0,0.3,4.0,0.0011501296669141287,0.1,easy,1
1,0.94,7,0,0.375,2.0,0.0011510952858121268,0.1,easy,1
1,0.96,5,0,0.5,0.0,0.0011508416020660662,0.1,easy,1
0,-1.0,1,1,1.0,,0.0011632500027189963,0.1,easy,1
0,-1.05,6,1,0.0,,0.0011399793317347455,0.5,easy,1
0,-1.0,1,1,1.0,,0.0011451250029494986,0.5,easy,1
1,0.72,29,0,0.5333333333333333,24.0,0.001148277310331368,0.5,easy,1
0,-1.01,2,1,0.3333333333333333,,0.0011521034975885414,0.5,easy,1
1,0.94,7,0,0.5,2.0,0.0011496964299502516,0.5,easy,1
1,0.9,11,0,0.6666666666666666,6.0,0.0011475646355062384,0.5,easy,1
1,0.92,9,0,0.3,4.0,0.001149268334201123,0.5,easy,1
1,0.94,7,0,0.5,2.0,0.0011496902859237576,0.5,easy,1
1,0.96,5,0,0.5,0.0,0.0011441252019722015,0.5,easy,1
0,-1.09,10,1,0.6363636363636364,,0.0011459208995802327,0.5,easy,1
0,-1.05,6,1,0.0,,0.0011507501658343244,1.0,easy,1
0,-1.0,1,1,1.0,,0.0011436669956310652,1.0,easy,1
0,-1.01,2,1,0.3333333333333333,,0.0011428329999034759,1.0,easy,1
1,0.88,13,0,0.5,8.0,0.0011426666152636665,1.0,easy,1
1,0.94,7,0,0.5,2.0,0.0011393035726671638,1.0,easy,1
0,-1.02,3,1,0.5,,0.0011387776661043365,1.0,easy,1
1,0.92,9,0,0.3,4.0,0.001138328777516209,1.0,easy,1
1,0.94,7,0,0.5,2.0,0.0011508212867608694,1.0,easy,1
1,0.96,5,0,0.5,0.0,0.0011439166017225943,1.0,easy,1
0,-1.13,14,1,0.4666666666666667,,0.0011841457141729603,1.0,easy,1
0,-1.05,6,1,0.0,,0.0011648473324991453,2.0,easy,1
0,-1.0,1,1,1.0,,0.001182208005047869,2.0,easy,1
0,-1.01,2,1,0.3333333333333333,,0.0011745834999601357,2.0,easy,1
0,-1.03,4,1,0.6,,0.0011727915007213596,2.0,easy,1
1,0.94,7,0,0.5,2.0,0.0011663572866902022,2.0,easy,1
0,-1.02,3,1,0.5,,0.0011639999987285894,2.0,easy,1
1,0.92,9,0,0.4,4.0,0.0011619167772652064,2.0,easy,1
1,0.94,7,0,0.5,2.0,0.001166333285384878,2.0,easy,1
1,0.92,9,0,0.6,4.0,0.0011946666685010616,2.0,easy,1
0,-1.13,14,1,0.4666666666666667,,0.0011741697131323495,2.0,easy,1
0,-1.05,6,1,0.0,,0.0011586666684403706,5.0,easy,1
0,-1.0,1,1,1.0,,0.0011721249975380488,5.0,easy,1
0,-1.01,2,1,0.3333333333333333,,0.0011630620028881822,5.0,easy,1
0,-1.07,8,1,0.6666666666666666,,0.0011622028760029934,5.0,easy,1
1,0.94,7,0,0.5,2.0,0.0011611487134359777,5.0,easy,1
0,-1.02,3,1,0.5,,0.0011645136692095548,5.0,easy,1
1,0.92,9,0,0.3,4.0,0.001158356445052454,5.0,easy,1
1,0.94,7,0,0.5,2.0,0.001164279856311623,5.0,easy,1
1,0.96,5,0,0.5,0.0,0.001161508198129013,5.0,easy,1
0,-1.1,11,1,0.5833333333333334,,0.0011607690923318098,5.0,easy,1
0,-1.02,3,1,0.0,,0.001184513666278993,0.0,obstacle,1
0,-1.02,3,1,1.0,,0.001140263998725762,0.0,obstacle,1
0,-1.02,3,1,1.0,,0.0011381946654485848,0.0,obstacle,1
0,-1.0,1,1,1.0,,0.001142291999713052,0.0,obstacle,1
0,-1.02,3,1,1.0,,0.0011338196660896453,0.0,obstacle,1
0,-1.01,2,1,1.0,,0.0011367919978511054,0.0,obstacle,1
0,-1.02,3,1,1.0,,0.0011286666655602555,0.0,obstacle,1
0,-1.02,3,1,1.0,,0.0011320419992747095,0.0,obstacle,1
0,-1.02,3,1,1.0,,0.0011388333344560426,0.0,obstacle,1
0,-1.0,1,1,1.0,,0.0011552500000107102,0.0,obstacle,1
0,-1.02,3,1,0.0,,0.001131819667837893,0.1,obstacle,1
0,-1.02,3,1,1.0,,0.0011369720014045015,0.1,obstacle,1
0,-1.02,3,1,1.0,,0.001136139335964496,0.1,obstacle,1
0,-1.0,1,1,1.0,,0.001137292005296331,0.1,obstacle,1
0,-1.04,5,1,0.8333333333333334,,0.0011314502015011385,0.1,obstacle,1
0,-1.01,2,1,1.0,,0.0011408960017433856,0.1,obstacle,1
0,-1.02,3,1,1.0,,0.0011341666637842234,0.1,obstacle,1
0,-1.02,3,1,1.0,,0.0011323473299853504,0.1,obstacle,1
0,-1.02,3,1,1.0,,0.001138652999846575,0.1,obstacle,1
0,-1.0,1,1,1.0,,0.0011397500056773424,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0011362083338705513,0.5,obstacle,1
0,-1.01,2,1,1.0,,0.0011428955003793817,0.5,obstacle,1
0,-1.01,2,1,0.3333333333333333,,0.0011458120025054086,0.5,obstacle,1
0,-1.03,4,1,1.0,,0.0011377707505744183,0.5,obstacle,1
0,-1.03,4,1,0.6,,0.0011319479999656323,0.5,obstacle,1
0,-1.02,3,1,1.0,,0.0011382226657588035,0.5,obstacle,1
0,-1.02,3,1,1.0,,0.0011307636693042393,0.5,obstacle,1
0,-1.05,6,1,0.5714285714285714,,0.0011342363335036982,0.5,obstacle,1
0,-1.02,3,1,0.5,,0.0011354166684517015,0.5,obstacle,1
0,-1.01,2,1,1.0,,0.0011740420013666153,0.5,obstacle,1
0,-1.02,3,1,0.0,,0.0011548889960977249,1.0,obstacle,1
0,-1.03,4,1,0.6,,0.0011651042477751616,1.0,obstacle,1
0,-1.01,2,1,0.3333333333333333,,0.00116352049735724,1.0,obstacle,1
0,-1.01,2,1,1.0,,0.0011639584990916774,1.0,obstacle,1
0,-1.02,3,1,0.5,,0.0011590836681231547,1.0,obstacle,1
0,-1.04,5,1,0.5,,0.001156416600861121,1.0,obstacle,1
0,-1.02,3,1,1.0,,0.0011561113351490349,1.0,obstacle,1
0,-1.05,6,1,0.5714285714285714,,0.0011545414987873908,1.0,obstacle,1
1,0.9,11,0,0.6666666666666666,2.0,0.0011534659080842341,1.0,obstacle,1
0,-1.01,2,1,1.0,,0.001194479496916756,1.0,obstacle,1
0,-1.02,3,1,0.0,,0.001169805999476618,2.0,obstacle,1
0,-1.03,4,1,0.6,,0.0011492395005916478,2.0,obstacle,1
0,-1.05,6,1,0.7142857142857143,,0.0011461943334628206,2.0,obstacle,1
1,0.9,11,0,0.3333333333333333,2.0,0.0011469280004596592,2.0,obstacle,1
0,-1.03,4,1,1.0,,0.0011447292508819373,2.0,obstacle,1
0,-1.04,5,1,0.3333333333333333,,0.001147533199400641,2.0,obstacle,1
0,-1.02,3,1,1.0,,0.0011492916698140714,2.0,obstacle,1
0,-1.01,2,1,1.0,,0.0011512085038702935,2.0,obstacle,1
0,-1.02,3,1,1.0,,0.0011437226664080906,2.0,obstacle,1
0,-1.03,4,1,1.0,,0.0011518957471707836,2.0,obstacle,1
0,-1.02,3,1,0.0,,0.0011396529977597918,5.0,obstacle,1
0,-1.03,4,1,0.6,,0.0011462392521934817,5.0,obstacle,1
0,-1.01,2,1,1.0,,0.001160458501544781,5.0,obstacle,1
0,-1.03,4,1,0.6,,0.0011513750014273683,5.0,obstacle,1
0,-1.03,4,1,1.0,,0.0011481770015961956,5.0,obstacle,1
0,-1.04,5,1,0.3333333333333333,,0.0012510084023233503,5.0,obstacle,1
0,-1.02,3,1,1.0,,0.0011438196670496836,5.0,obstacle,1
0,-1.01,2,1,1.0,,0.001151520998973865,5.0,obstacle,1
0,-1.02,3,1,1.0,,0.00114901366517491,5.0,obstacle,1
0,-1.03,4,1,1.0,,0.0011495524995552842,5.0,obstacle,1
0,-1.03,4,1,0.0,,0.0011572810017241864,0.0,deceptive,1
0,-1.03,4,1,1.0,,0.0011537917489476968,0.0,deceptive,1
0,-1.03,4,1,1.0,,0.001150843749201158,0.0,deceptive,1
0,-1.0,1,1,1.0,,0.0011545840025064535,0.0,deceptive,1
