success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,lambda_D,Map,Seed
0,-1.02,3,1,0.0,,0.001152708330967774,2.0,obstacle,0
0,-1.02,3,1,0.0,,0.0011467216633415471,2.0,obstacle,0
0,-1.0,1,1,0.0,,0.0011416250054026023,2.0,obstacle,0
0,-1.02,3,1,0.0,,0.0011658609970860805,5.0,obstacle,0
0,-1.0,1,1,0.0,,0.0011327079992042854,5.0,obstacle,0
0,-1.02,3,1,0.0,,0.0011373333351608987,5.0,obstacle,0
0,-1.01,2,1,0.0,,0.001132333003624808,5.0,obstacle,0
0,-1.0,1,1,0.0,,0.0011479159875307232,5.0,obstacle,0
0,-1.02,3,1,0.0,,0.0011369166653215264,5.0,obstacle,0
0,-1.02,3,1,0.0,,0.0011427090066717938,5.0,obstacle,0
0,-1.02,3,1,0.0,,0.0011222083364070083,5.0,obstacle,0
0,-1.02,3,1,0.0,,0.0011305416652855154,5.0,obstacle,0
0,-1.0,1,1,0.0,,0.001145957998232916,5.0,obstacle,0
0,-1.0,1,1,0.0,,0.001163082997663878,0.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011511250049807131,0.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011341659992467612,0.0,deceptive,0
0,-1.01,2,1,0.0,,0.0011359584968886338,0.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011452920007286593,0.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011494999926071614,0.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011390829895390198,0.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011376670008758083,0.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011308329994790256,0.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011458329972811043,0.0,deceptive,0
0,-1.01,2,1,0.0,,0.001136083505116403,0.1,deceptive,0
0,-1.0,1,1,0.0,,0.0011367499973857775,0.1,deceptive,0
0,-1.02,3,1,0.0,,0.0011315693360908579,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011308020002616104,0.1,deceptive,0
0,-1.0,1,1,0.0,,0.0011302499915473163,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011341252538841218,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.001129281248722691,0.1,deceptive,0
0,-1.0,1,1,0.0,,0.001133416997618042,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011213750003662426,0.1,deceptive,0
0,-1.0,1,1,0.0,,0.0011221669992664829,0.1,deceptive,0
0,-1.01,2,1,0.0,,0.001135313003032934,0.5,deceptive,0
0,-1.0,1,1,0.0,,0.0011443750117905438,0.5,deceptive,0
0,-1.02,3,1,0.0,,0.0011366250012846042,0.5,deceptive,0
0,-1.03,4,1,0.0,,0.0011200730004929937,0.5,deceptive,0
0,-1.0,1,1,0.0,,0.001119874999858439,0.5,deceptive,0
0,-1.03,4,1,0.0,,0.001123593498050468,0.5,deceptive,0
0,-1.03,4,1,0.0,,0.0011351670036674477,0.5,deceptive,0
0,-1.0,1,1,0.0,,0.0011195840052096173,0.5,deceptive,0
0,-1.03,4,1,0.0,,0.0011178019994986244,0.5,deceptive,0
0,-1.0,1,1,0.0,,0.0011392500018700957,0.5,deceptive,0
0,-1.01,2,1,0.0,,0.001135771002736874,1.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011144579912070185,1.0,deceptive,0
0,-1.02,3,1,0.0,,0.0011060976636751245,1.0,deceptive,0
0,-1.03,4,1,0.0,,0.0011156355030834675,1.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011159999994561076,1.0,deceptive,0
0,-1.03,4,1,0.0,,0.001115854498493718,1.0,deceptive,0
0,-1.03,4,1,0.0,,0.0011145627540827263,1.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011265409993939102,1.0,deceptive,0
0,-1.03,4,1,0.0,,0.001115301751269726,1.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011236249993089586,1.0,deceptive,0
0,-1.01,2,1,0.0,,0.0011341249992256053,2.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011154160019941628,2.0,deceptive,0
0,-1.02,3,1,0.0,,0.001115541672334075,2.0,deceptive,0
0,-1.03,4,1,0.0,,0.0011182189991814084,2.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011345829989295453,2.0,deceptive,0
0,-1.03,4,1,0.0,,0.0011079272480856162,2.0,deceptive,0
0,-1.03,4,1,0.0,,0.001115260245569516,2.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011349589913152158,2.0,deceptive,0
0,-1.03,4,1,0.0,,0.0011112400025012903,2.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011256249999860302,2.0,deceptive,0
0,-1.01,2,1,0.0,,0.0011222289977013133,5.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011260000028414652,5.0,deceptive,0
0,-1.02,3,1,0.0,,0.0011238333293780063,5.0,deceptive,0
0,-1.03,4,1,0.0,,0.0011128440019092523,5.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011447500000940636,5.0,deceptive,0
0,-1.03,4,1,0.0,,0.0011204480033484288,5.0,deceptive,0
