success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_F,Map,Seed
1,0.91,10,0,0.0,2.0,0.0017714374233037233,30,0.5,random_small,0
1,0.91,10,0,0.0,2.0,0.001773108309134841,30,0.5,random_small,0
1,0.91,10,0,0.0,2.0,0.0018356372602283955,30,0.5,random_small,0
1,0.85,16,0,0.0,8.0,0.0017917449149535969,30,0.5,random_small,0
1,0.91,10,0,0.0,2.0,0.0020308208419010042,40,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0019517813925631344,40,0.5,random_small,0
1,0.89,12,0,0.0,4.0,0.0020003470902641616,40,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.001998854277189821,40,0.5,random_small,0
1,0.89,12,0,0.0,4.0,0.0019860799269129834,40,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0019995313487015665,40,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.001996666396735236,40,0.5,random_small,0
1,0.91,10,0,0.0,2.0,0.0019868124509230256,40,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.00200788548681885,40,0.5,random_small,0
1,0.91,10,0,0.0,2.0,0.0020259833661839368,40,0.5,random_small,0
0,-1.0,1,1,0.0,,0.0013092081062495708,5,0.5,easy,1
1,0.92,9,0,0.2,4.0,0.0012483239536070162,5,0.5,easy,1
0,-1.03,4,1,0.4,,0.0012529584346339107,5,0.5,easy,1
0,-1.07,8,1,0.2222222222222222,,0.0013135830813553184,5,0.5,easy,1
1,0.9,11,0,0.3333333333333333,6.0,0.0012959242290393872,5,0.5,easy,1
0,-1.06,7,1,0.875,,0.0012502082224403108,5,0.5,easy,1
1,0.88,13,0,0.7857142857142857,8.0,0.0012409809546974988,5,0.5,easy,1
0,-1.01,2,1,1.0,,0.00139533297624439,5,0.5,easy,1
1,0.94,7,0,0.5,2.0,0.0012411906250885554,5,0.5,easy,1
1,0.94,7,0,0.625,2.0,0.0012511368175702436,5,0.5,easy,1
1,0.92,9,0,0.0,4.0,0.0013576204267640908,10,0.5,easy,1
0,-1.01,2,1,0.0,,0.0014672914985567331,10,0.5,easy,1
1,0.92,9,0,0.2,4.0,0.0013699768525030878,10,0.5,easy,1
